user_id,date,sleep_minutes,steps,active_minutes,exercise_minutes,work_or_study_minutes,rest_minutes,schedule_count,subjective_fatigue,sleep_source,steps_source,coverage,time_zone
stable_user,2026-01-01,455,8200,60,30,420,150,4,2.0,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-02,440,7600,55,20,450,140,5,2.2,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-03,470,9100,70,35,360,180,3,1.7,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-04,435,8000,58,25,480,130,6,2.4,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-05,450,8500,62,30,430,155,4,2.0,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-06,465,9300,72,40,300,190,2,1.6,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-07,460,8800,65,35,320,180,3,1.8,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-08,445,7900,57,20,450,145,5,2.1,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-09,455,8400,63,30,420,160,4,1.9,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-10,430,7400,52,15,480,125,6,2.5,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-11,470,9000,68,35,360,185,3,1.6,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-12,450,8100,60,25,440,150,5,2.0,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-13,465,9200,70,40,300,195,2,1.5,synthetic,synthetic,complete,Asia/Seoul
stable_user,2026-01-14,440,7700,54,20,410,140,4,2.2,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-01,450,8300,61,30,420,155,4,2.0,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-02,445,7900,58,25,450,145,5,2.1,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-03,465,9100,70,40,360,185,3,1.6,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-04,440,8100,59,25,470,140,5,2.2,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-05,455,8600,64,35,430,160,4,1.9,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-06,470,9400,73,45,300,195,2,1.5,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-07,460,8900,67,35,320,180,3,1.7,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-08,450,8200,60,30,440,150,4,2.0,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-09,445,7800,56,20,470,135,5,2.3,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-10,465,9000,69,40,350,190,3,1.6,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-11,435,7500,53,15,490,125,6,2.5,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-12,455,8500,63,30,420,165,4,1.9,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-13,470,9200,71,45,310,200,2,1.5,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-14,445,8000,57,25,430,145,5,2.1,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-15,390,6200,42,20,500,100,5,3.0,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-16,375,5600,38,15,520,90,6,3.3,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-17,360,5100,34,10,540,80,6,3.5,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-18,345,4600,30,5,560,75,7,3.8,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-19,330,4100,26,0,580,65,7,4.1,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-20,315,3600,23,0,600,55,8,4.4,synthetic,synthetic,complete,Asia/Seoul
worsening_user,2026-02-21,300,3200,20,0,620,45,8,4.7,synthetic,synthetic,complete,Asia/Seoul
insufficient_user,2026-03-01,440,5200,38,15,360,110,3,2.4,synthetic,synthetic,complete,Asia/Seoul
insufficient_user,2026-03-02,420,,25,0,300,90,2,2.8,synthetic,synthetic,partial,Asia/Seoul
insufficient_user,2026-03-03,,,,,,,,,synthetic,synthetic,unavailable,Asia/Seoul
insufficient_user,2026-03-04,,4100,30,10,330,100,3,2.6,synthetic,synthetic,partial,Asia/Seoul
insufficient_user,2026-03-05,450,6000,42,20,390,120,4,2.1,synthetic,synthetic,complete,Asia/Seoul
insufficient_user,2026-03-06,,,,,,,,,synthetic,synthetic,unavailable,Asia/Seoul
insufficient_user,2026-03-07,405,3500,22,0,420,80,5,3.1,synthetic,synthetic,partial,Asia/Seoul
